canonical_id,name,uberon,fma,ta2,system,laterality,scope
HRA:Allen_temporal_agranular_insular_cortex_area_Tl_R|right,temporal agranular insular cortex area Tl (right),,,,nervous,right,direct-source-geometry
HRA:Allen_head_of_caudate_R|right,head of caudate (right),,,,nervous,right,direct-source-geometry
HRA:Allen_body_of_caudate_R|right,body of caudate (right),,,,nervous,right,direct-source-geometry
HRA:Allen_tail_of_caudate_R|right,tail of caudate (right),,,,nervous,right,direct-source-geometry
UBERON:0008885|right,right putamen,UBERON:0008885,,,nervous,right,direct-source-geometry
HRA:Allen_nucleus_accumbens_R|right,nucleus accumbens (right),,,,nervous,right,direct-source-geometry
HRA:Allen_external_segment_of_globus_pallidus_R|right,external segment of globus pallidus (right),,,,nervous,right,direct-source-geometry
HRA:Allen_internal_segment_of_globus_pallidus_R|right,internal segment of globus pallidus (right),,,,nervous,right,direct-source-geometry
HRA:Allen_claustrum_R|right,claustrum (right),,,,nervous,right,direct-source-geometry
HRA:Allen_basal_forebrain_R|right,basal forebrain (right),,,,nervous,right,direct-source-geometry
HRA:Allen_septal_nuclei_R|right,septal nuclei (right),,,,nervous,right,direct-source-geometry
HRA:Allen_amygdaloid_complex_R|right,amygdaloid complex (right),,,,nervous,right,direct-source-geometry
HRA:Allen_anterior_amygdaloid_area_R|right,anterior amygdaloid area (right),,,,nervous,right,direct-source-geometry
HRA:Allen_central_nuclear_group_R|right,central nuclear group (right),,,,sensory,right,direct-source-geometry
HRA:Allen_lateral_nucleus_R|right,lateral nucleus (right),,,,nervous,right,direct-source-geometry
HRA:Allen_basolateral_nucleus_basal_nucleus_R|right,basolateral nucleus basal nucleus (right),,,,nervous,right,direct-source-geometry
HRA:Allen_basomedial_nucleus_accessory_basal_nucleus_R|right,basomedial nucleus accessory basal nucleus (right),,,,nervous,right,direct-source-geometry
HRA:Allen_anterior_cortical_nucleus_R|right,anterior cortical nucleus (right),,,,nervous,right,direct-source-geometry
HRA:Allen_posterior_cortical_nucleus_R|right,posterior cortical nucleus (right),,,,nervous,right,direct-source-geometry
HRA:Allen_medial_nucleus_R|right,medial nucleus (right),,,,nervous,right,direct-source-geometry
HRA:Allen_amygdalohippocampal_area_R|right,amygdalohippocampal area (right),,,,nervous,right,direct-source-geometry
HRA:Allen_bed_nucleus_of_stria_terminalis_R|right,bed nucleus of stria terminalis (right),,,,nervous,right,direct-source-geometry
HRA:Allen_thalamus_R|right,thalamus (right),,,,nervous,right,direct-source-geometry
HRA:Allen_anterior_nuclear_complex_of_thalamus_R|right,anterior nuclear complex of thalamus (right),,,,sensory,right,direct-source-geometry
HRA:Allen_lateral_dorsal_nucleus_of_thalamus_R|right,lateral dorsal nucleus of thalamus (right),,,,nervous,right,direct-source-geometry
HRA:Allen_mediodorsal_nucleus_of_thalamus_R|right,mediodorsal nucleus of thalamus (right),,,,nervous,right,direct-source-geometry
